P,DD,NCE,LS,NCP,IIM,FID,RWs,SC,UP,NCPDD,RW
"So with the lamps all put out, the moon sunk, and a thin rain drumming on the roof a downpouring of immense darkness began. Nothing, it seemed, could survive the flood, the profusion of darkness which, creeping in at keyholes and crevices, stole round window blinds, came into bedrooms, swallowed up here a jug and basin,there a bowl of red and yellow dahlias,therethe sharp edges and firm bulk of a chest of drawers. Not only was furniture confounded;therewas scarcely anything left of body or mind by which one could say, ""This is he"" or ""This is she."" Sometimes a hand was raised as if to clutch something or ward off something, or somebody groaned, or somebody laughed aloud as if sharing a joke with nothingness.","""Not for the Empress of Mexico,""",,"And then, letting her eyes slide imperceptibly above the pool and rest on that wavering line of sea and sky, on the tree trunks which the smoke of steamers made waver on the horizon, she became with all that power sweeping savagely in and inevitably withdrawing, hypnotised, and the two senses of that vastness and this tininess (the pool had diminished again) flowering within it made her feel that she was bound hand and foot and unable to move by the intensity of feelings which reduced her own body, her own life, and the lives of all the people in the world, for ever, to nothingness.","Besides, look,",by saying them? Aren't we more expressive thus?,"Yes, indeed it was. Did that not mean that they would marry? Yes, it must! What an admirable idea! They must marry!",,,,,One must.
"Nothing stirred in the drawing-room or in the dining-room or on the staircase. Only through the rusty hinges and swollen sea-moistened woodwork certain airs, detached from the body of the wind (the house was ramshackle after all) crept round corners and ventured indoors. Almost one might imagine them, as they entered the drawing-room questioning and wondering, toying with the flap of hanging wall-paper, asking,would it hang much longer, when would it fall?Then smoothly brushing the walls, they passed on musingly as if asking the red and yellow roses on the wall-paper whether they would fade, and questioning (gently, for there was time at their disposal) the torn letters in the wastepaper basket, the flowers, the books, all of which were now open to them and asking,Were they allies? Were they enemies? How long would they endure?","""Look!""",,"And as they came out on the hill and saw the lights of the town beneath them, the lights coming out suddenly one by one seemed like things that were going to happen to him--his marriage, his children, his house; and again he thought, as they came out on to the high road, which was shaded with high bushes, how they would retreat into solitude together, and walk on and on, he always leading her, and she pressing close to his side (as she did now).","He would have liked to live in a cottage and lounge about in the harbour spitting with the other old men,","Now Mrs. Ramsay got up, she remembered. It was time to go back to the house--time for luncheon. And they all walked up from the beach together, she walking behind with William Bankes, and there was Minta in front of them with a hole in her stocking. How that little round hole of pink heel seemed to flaunt itself before them! How William Bankes deplored it, without, so far as she could remember, saying anything about it! It meant to him the annihilation of womanhood, and dirt and disorder, and servants leaving and beds not made at mid-day--all the things he most abhorred. He had a way of shuddering and spreading his fingers out as if to cover an unsightly object which he did now--holding his hand in front of him. And Minta walked on ahead, and presumably Paul met her and she went off with Paul in the garden.",What was it she wanted?,,,,,"One must,"
"So some random light directing them with its pale footfall upon stair and mat, from some uncovered star, or wandering ship, or the Lighthouse even, with its pale footfall upon stair and mat, the little airs mounted the staircase and nosed round bedroom doors. But here surely, they must cease. Whatever else may perish and disappear, what lies here is steadfast.Here one might say to those sliding lights, those fumbling airs that breathe and bend over the bed itself,here you can neither touch nor destroy. Upon which, wearily, ghostlily, as if they had feather-light fingers and the light persistency of feathers, they would look, once, on the shut eyes, and the loosely clasping fingers, and fold their garments wearily and disappear. And so, nosing, rubbing, they went to the window on the staircase, to the servants' bedrooms, to the boxes in the attics; descending, blanched the apples on the dining-room table, fumbled the petals of roses, tried the picture on the easel, brushed the mat and blew a little sand along the floor. At length, desisting, all ceased together, gathered together,all sighed together; all together gave off an aimless gust of lamentation to which some door in the kitchen replied; swung wide; admitted nothing; and slammed to.","""Choose, dearests, choose,""",,"And then, letting her eyes slide imperceptibly above the pool and rest on that wavering line of sea and sky, on the tree trunks which the smoke of steamers made waver on the horizon, she became with all that power sweeping savagely in and inevitably withdrawing, hypnotised, and the two senses of that vastness and this tininess (the pool had diminished again) flowering within it made her feel that she was bound hand and foot and unable to move by the intensity of feelings which reduced her own body, her own life, and the lives of all the people in the world, for ever, to nothingness.","This is right, this is it,","The Rayleys,","Minta,",,,,,one must.
"[Here Mr. Carmichael, who was reading Virgil, blew out his candle. It was past midnight.]","""There,""",,"And then, letting her eyes slide imperceptibly above the pool and rest on that wavering line of sea and sky, on the tree trunks which the smoke of steamers made waver on the horizon, she became with all that power sweeping savagely in and inevitably withdrawing, hypnotised, and the two senses of that vastness and this tininess (the pool had diminished again) flowering within it made her feel that she was bound hand and foot and unable to move by the intensity of feelings which reduced her own body, her own life, and the lives of all the people in the world, for ever, to nothingness.","Now I can go on thinking whatever I like, and I shan't fall over a precipice or be drowned, for there he is, keeping his eye on me,","She collected her impressions of the Rayleys. Their lives appeared to her in a series of scenes; one, on the staircase at dawn. Paul had come in and gone to bed early; Minta was late. There was Minta, wreathed, tinted, garish on the stairs about three o'clock in the morning. Paul came out in his pyjamas carrying a poker in case of burglars. Minta was eating a sandwich, standing half-way up by a window, in the cadaverous early morning light, and the carpet had a hole in it. But what did they say? Lily asked herself, as if by looking she could hear them. Minta went on eating her sandwich, annoyingly, while he spoke something violent, abusing her, in a mutter so as not to wake the children, the two little boys. He was withered, drawn; she flamboyant, careless. For things had worked loose after the first year or so; the marriage had turned out rather badly.",was rather a good walker. She wore more sensible clothes that most women. She wore very short skirts and black knickerbockers. She would jump straight into a stream and flounder across.,,,,,He had
"3. But what after all is one night? A short space, especially when the darkness dims so soon, and so soon a bird sings, a cock crows, or a faint green quickens, like a turning leaf, in the hollow of the wave. Night, however, succeeds to night. The winter holds a pack of them in store and deals them equally, evenly, with indefatigable fingers. They lengthen; they darken. Some of them hold aloft clear planets, plates of brightness. The autumn trees, ravaged as they are, take on the flash of tattered flags kindling in the gloom of cool cathedral caves where gold letters on marble pages describe death in battle and how bones bleach and burn far away in Indian sands. The autumn trees gleam in the yellow moonlight, in the light of harvest moons, the light which mellows the energy of labour, and smooths the stubble, and brings the wave lapping blue to the shore. It seemed now as if, touched by human penitence and all its toil, divine goodness had parted the curtain and displayed behind it, single, distinct, the hare erect; the wave falling; the boat rocking; which, did we deserve them, should be ours always.But alas, divine goodness, twitching the cord, draws the curtain; it does not please him; he covers his treasures in a drench of hail, and so breaks them, so confuses them that it seems impossible that their calm should ever return or that we should ever compose from their fragments a perfect whole or read in the littered pieces the clear words of truth. For our penitence deserves a glimpse only; our toil respite only. The nights now are full of wind and destruction; the trees plunge and bend and their leaves fly helter skelter until the lawn is plastered with them and they lie packed in gutters and choke rain pipes and scatter damp paths. Also the sea tosses itself and breaks itself, and should any sleeper fancying that he might find on the beach an answer to his doubts, a sharer of his solitude, throw off his bedclothes and go down by himself to walk on the sand, no image with semblance of serving and divine promptitude comes readily to hand bringing the night to order and making the world reflect the compass of the soul.The hand dwindles in his hand; the voice bellows in his ear. Almost it would appear that it is useless in such confusion to ask the night those questions as to what, and why, and wherefore, which tempt the sleeper from his bed to seek an answer. [Mr. Ramsay, stumbling along a passage one dark morning, stretched his arms out, but Mrs. Ramsay having died rather suddenly the night before, his arms, though stretched out, remained empty.]","""there they are again.""",,"And as they came out on the hill and saw the lights of the town beneath them, the lights coming out suddenly one by one seemed like things that were going to happen to him--his marriage, his children, his house; and again he thought, as they came out on to the high road, which was shaded with high bushes, how they would retreat into solitude together, and walk on and on, he always leading her, and she pressing close to his side (as she did now).",Would the water last? Would the provisions last?,"And this,","She might have called him when she saw the crayfish or whatever it was,",,,,,He had
"But what after all is one night? A short space, especially when the darkness dims so soon, and so soon a bird sings, a cock crows, or a faint green quickens, like a turning leaf, in the hollow of the wave. Night, however, succeeds to night. The winter holds a pack of them in store and deals them equally, evenly, with indefatigable fingers. They lengthen; they darken. Some of them hold aloft clear planets, plates of brightness. The autumn trees, ravaged as they are, take on the flash of tattered flags kindling in the gloom of cool cathedral caves where gold letters on marble pages describe death in battle and how bones bleach and burn far away in Indian sands. The autumn trees gleam in the yellow moonlight, in the light of harvest moons, the light which mellows the energy of labour, and smooths the stubble, and brings the wave lapping blue to the shore.","""Don't you think they mind,""",,"And as they came out on the hill and saw the lights of the town beneath them, the lights coming out suddenly one by one seemed like things that were going to happen to him--his marriage, his children, his house; and again he thought, as they came out on to the high road, which was shaded with high bushes, how they would retreat into solitude together, and walk on and on, he always leading her, and she pressing close to his side (as she did now).","They would soon be out of it,","is what we call ""knowing"" people, ""thinking"" of them, ""being fond"" of them! Not a word of it was true;","They must have seen it,",,,,,He had
"It seemed now as if, touched by human penitence and all its toil, divine goodness had parted the curtain and displayed behind it, single, distinct, the hare erect; the wave falling; the boat rocking; which, did we deserve them, should be ours always.But alas, divine goodness, twitching the cord, draws the curtain; it does not please him; he covers his treasures in a drench of hail, and so breaks them, so confuses them that it seems impossible that their calm should ever return or that we should ever compose from their fragments a perfect whole or read in the littered pieces the clear words of truth. For our penitence deserves a glimpse only; our toil respite only.","""having their wings broken?""",,"She was now beginning to feel annoyed with them for being so late; it was inconsiderate of them, and it annoyed her on top of her anxiety about them, that they should choose this very night to be out late, when, in fact, she wished the dinner to be particularly nice, since William Bankes had at last consented to dine with them; and they were having Mildred's masterpiece--BÅf en Daube.",but their children would see some strange things.,"She saw him sitting in the corner of some lugubrious place where the smoke attached itself to the red plush seats, and the waitresses got to know you, and he played chess with a little man who was in the tea trade and lived at Surbiton, but that was all Paul knew about him. And then Minta was out when he came home and then there was that scene on the stairs, when he got the poker in case of burglars (no doubt to frighten her too) and spoke so bitterly, saying she had ruined his life. At any rate when she went down to see them at a cottage near Rickmansworth, things were horribly strained. Paul took her down the garden to look at the Belgian hares which he bred, and Minta followed them, singing, and put her bare arm on his shoulder, lest he should tell her anything.",the brooch which her grandmother had fastened her cap with till the last day of her life.,,,,,He had
"The nights now are full of wind and destruction; the trees plunge and bend and their leaves fly helter skelter until the lawn is plastered with them and they lie packed in gutters and choke rain pipes and scatter damp paths. Also the sea tosses itself and breaks itself, and should any sleeper fancying that he might find on the beach an answer to his doubts, a sharer of his solitude, throw off his bedclothes and go down by himself to walk on the sand, no image with semblance of serving and divine promptitude comes readily to hand bringing the night to order and making the world reflect the compass of the soul.The hand dwindles in his hand; the voice bellows in his ear. Almost it would appear that it is useless in such confusion to ask the night those questions as to what, and why, and wherefore, which tempt the sleeper from his bed to seek an answer.","""They've come back!""",,"And, like some queen who, finding her people gathered in the hall, looks down upon them, and descends among them, and acknowledges their tributes silently, and accepts their devotion and their prostration before her (Paul did not move a muscle but looked straight before him as she passed) she went down, and crossed the hall and bowed her head very slightly, as if she accepted what they could not say: their tribute to her beauty.",And that's the way I'd like my children to live--,"Minta was bored by hares, Lily thought. But Minta never gave herself away. She never said things like that about playing chess in coffee- houses. She was far too conscious, far too wary. But to go on with their story--they had got through the dangerous stage by now. She had been staying with them last summer some time and the car broke down and Minta had to hand him his tools. He sat on the road mending the car, and it was the way she gave him the tools--business-like, straightforward, friendly--that proved it was all right now. They were ""in love"" no longer; no, he had taken up with another woman, a serious woman, with her hair in a plait and a case in her hand (Minta had described her gratefully, almost admiringly), who went to meetings and shared Paul's views (they had got more and more pronounced) about the taxation of land values and a capital levy. Far from breaking up the marriage, that alliance had righted it. They were excellent friends, obviously, as he sat on the road and she handed him his tools.","There was nothing more that could be done now. If the brooch was there, it would still be there in the morning,",,,,,One must.
"[Mr. Ramsay, stumbling along a passage one dark morning, stretched his arms out, but Mrs. Ramsay having died rather suddenly the night before, his arms, though stretched out, remained empty.]","""William, sit by me,""",,"Could they have let the Bï¿½f en Daube overboil? she wondered, pray heaven not! when the great clangour of the gong announced solemnly, authoritatively, that all those scattered about, in attics, in bedrooms, on little perches of their own, reading, writing, putting the last smooth to their hair, or fastening dresses, must leave all that, and the little odds and ends on their washing-tables and dressing tables, and the novels on the bed- tables, and the diaries which were so private, and assemble in the dining-room for dinner.","as if he were thinking of the fishermen and how they lived,","So that was the story of the Rayleys,","And if Rose liked,",,,,,"One must,"
"4. So with the house empty and the doors locked and the mattresses rolled round, those stray airs, advance guards of great armies, blustered in, brushed bare boards, nibbled and fanned, met nothing in bedroom or drawing-room that wholly resisted them but only hangings that flapped, wood that creaked, the bare legs of tables, saucepans and china already furred, tarnished, cracked.What people had shed and left--a pair of shoes, a shooting cap, some faded skirts and coats in wardrobes--those alone kept the human shape and in the emptiness indicated how once they were filled and animated; how once hands were busy with hooks and buttons; how once the looking-glass had held a face; had held a world hollowed out in which a figure turned, a hand flashed, the door opened, in came children rushing and tumbling; and went out again.Now, day after day, light turned, like a flower reflected in water, its sharp image on the wall opposite. Only the shadows of the trees, flourishing in the wind, made obeisance on the wall, and for a moment darkened the pool in which light reflected itself; or birds, flying, made a soft spot flutter slowly across the bedroom floor. So loveliness reigned and stillness, and together made the shape of loveliness itself, a form from which life had parted; solitary like a pool at evening, far distant, seen from a train window, vanishing so quickly that the pool, pale in the evening, is scarcely robbed of its solitude, though once seen. Loveliness and stillness clasped hands in the bedroom, and among the shrouded jugs and sheeted chairs even the prying of the wind, and the soft nose of the clammy sea airs, rubbing, snuffling, iterating, and reiterating their questions--""Will you fade? Will you perish?""--scarcely disturbed the peace, the indifference, the air of pure integrity, as if the question they asked scarcely needed that they should answer:we remain. Nothing it seemed could break that image, corrupt that innocence, or disturb the swaying mantle of silence which, week after week, in the empty room, wove into itself the falling cries of birds, ships hooting, the drone and hum of the fields, a dog's bark, a man's shout, and folded them round the house in silence. Once only a board sprang on the landing; once in the middle of the night with a roar, with a rupture, as after centuries of quiescence, a rock rends itself from the mountain and hurtles crashing into the valley, one fold of the shawl loosened and swung to and fro. Then again peace descended; and the shadow wavered; light bent to its own image in adoration on the bedroom wall; and Mrs. McNab, tearing the veil of silence with hands that had stood in the wash-tub, grinding it with boots that had crunched the shingle, came as directed to open all windows, and dust the bedrooms.","""Lily,""",,"She was now beginning to feel annoyed with them for being so late; it was inconsiderate of them, and it annoyed her on top of her anxiety about them, that they should choose this very night to be out late, when, in fact, she wished the dinner to be particularly nice, since William Bankes had at last consented to dine with them; and they were having Mildred's masterpiece--BÅf en Daube.","""Ah""","She imagined herself telling it to Mrs. Ramsay, who would be full of curiosity to know what had become of the Rayleys. She would feel a little triumphant, telling Mrs. Ramsay that the marriage had not been a success.",she might choose which jewels she was to wear.,,,,,one must.
"So with the house empty and the doors locked and the mattresses rolled round, those stray airs, advance guards of great armies, blustered in, brushed bare boards, nibbled and fanned, met nothing in bedroom or drawing-room that wholly resisted them but only hangings that flapped, wood that creaked, the bare legs of tables, saucepans and china already furred, tarnished, cracked.What people had shed and left--a pair of shoes, a shooting cap, some faded skirts and coats in wardrobes--those alone kept the human shape and in the emptiness indicated how once they were filled and animated; how once hands were busy with hooks and buttons; how once the looking-glass had held a face; had held a world hollowed out in which a figure turned, a hand flashed, the door opened, in came children rushing and tumbling; and went out again.Now, day after day, light turned, like a flower reflected in water, its sharp image on the wall opposite. Only the shadows of the trees, flourishing in the wind, made obeisance on the wall, and for a moment darkened the pool in which light reflected itself; or birds, flying, made a soft spot flutter slowly across the bedroom floor.","""over there.""",,"She was now beginning to feel annoyed with them for being so late; it was inconsiderate of them, and it annoyed her on top of her anxiety about them, that they should choose this very night to be out late, when, in fact, she wished the dinner to be particularly nice, since William Bankes had at last consented to dine with them; and they were having Mildred's masterpiece--BÅf en Daube.","But why make a fuss about that? Naturally men are drowned in a storm, but it is a perfectly straightforward affair, and the depths of the sea (he sprinkled the crumbs from his sandwich paper over them) are only water after all.","But the dead,","Which did indeed,",,,,,"""Children don't forget, children don't forget"""
"So loveliness reigned and stillness, and together made the shape of loveliness itself, a form from which life had parted; solitary like a pool at evening, far distant, seen from a train window, vanishing so quickly that the pool, pale in the evening, is scarcely robbed of its solitude, though once seen. Loveliness and stillness clasped hands in the bedroom, and among the shrouded jugs and sheeted chairs even the prying of the wind, and the soft nose of the clammy sea airs, rubbing, snuffling, iterating, and reiterating their questions--""Will you fade? Will you perish?""--scarcely disturbed the peace, the indifference, the air of pure integrity, as if the question they asked scarcely needed that they should answer:we remain.","""Sit there, please,""",,"And, like some queen who, finding her people gathered in the hall, looks down upon them, and descends among them, and acknowledges their tributes silently, and accepts their devotion and their prostration before her (Paul did not move a muscle but looked straight before him as she passed) she went down, and crossed the hall and bowed her head very slightly, as if she accepted what they could not say: their tribute to her beauty.","""Well done!"" James had steered them like a born sailor.","oh, the dead!","Look at that,",,,,,We are in the hands of the Lord.
"Nothing it seemed could break that image, corrupt that innocence, or disturb the swaying mantle of silence which, week after week, in the empty room, wove into itself the falling cries of birds, ships hooting, the drone and hum of the fields, a dog's bark, a man's shout, and folded them round the house in silence. Once only a board sprang on the landing; once in the middle of the night with a roar, with a rupture, as after centuries of quiescence, a rock rends itself from the mountain and hurtles crashing into the valley, one fold of the shawl loosened and swung to and fro. Then again peace descended; and the shadow wavered; light bent to its own image in adoration on the bedroom wall; and Mrs. McNab, tearing the veil of silence with hands that had stood in the wash-tub, grinding it with boots that had crunched the shingle, came as directed to open all windows, and dust the bedrooms.","""Did you find your letters? I told them to put them in the hall for you,""",,"And, like some queen who, finding her people gathered in the hall, looks down upon them, and descends among them, and acknowledges their tributes silently, and accepts their devotion and their prostration before her (Paul did not move a muscle but looked straight before him as she passed) she went down, and crossed the hall and bowed her head very slightly, as if she accepted what they could not say: their tribute to her beauty.",There!,"one pitied them, one brushed them aside, one had even a little contempt for them. They are at our mercy. Mrs. Ramsay has faded and gone,","Choose me a shawl,",,,,,she was
"5. As she lurched (for she rolled like a ship at sea) and leered (for her eyes fell on nothing directly, but with a sidelong glance that deprecated the scorn and anger of the world--she was witless, she knew it), as she clutched the banisters and hauled herself upstairs and rolled from room to room, she sang.Rubbing the glass of the long looking-glass and leering sideways at her swinging figure a sound issued from her lips--something that had been gay twenty years before on the stage perhaps, had been hummed and danced to, but now, coming from the toothless, bonneted, care-taking woman, was robbed of meaning, was like the voice of witlessness, humour, persistency itself, trodden down but springing up again, so that as she lurched, dusting, wiping, she seemed to say how it was one long sorrow and trouble, how it was getting up and going to bed again, and bringing things out and putting them away again. It was not easy or snug this world she had known for close on seventy years. Bowed down she was with weariness.How long, she asked, creaking and groaning on her knees under the bed, dusting the boards, how long shall it endure? but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope. Visions of joy there must have been at the wash- tub, say with her children (yet two had been base-born and one had deserted her), at the public-house, drinking; turning over scraps in her drawers. Some cleavage of the dark there must have been, some channel in the depths of obscurity through which light enough issued to twist her face grinning in the glass and make her, turning to her job again, mumble out the old music hall song. The mystic, the visionary, walking the beach on a fine night, stirring a puddle, looking at a stone, asking themselves""What am I,"" ""What is this?""had suddenly an answer vouchsafed them: (they could not say what it was) so that they were warm in the frost and had comfort in the desert. But Mrs. McNab continued to drink and gossip as before.","""It's odd that one scarcely gets anything worth having by post, yet one always wants one's letters,""",,"Could they have let the Bï¿½f en Daube overboil? she wondered, pray heaven not! when the great clangour of the gong announced solemnly, authoritatively, that all those scattered about, in attics, in bedrooms, on little perches of their own, reading, writing, putting the last smooth to their hair, or fastening dresses, must leave all that, and the little odds and ends on their washing-tables and dressing tables, and the novels on the bed- tables, and the diaries which were so private, and assemble in the dining-room for dinner.",You've got it at last.,"We can over-ride her wishes, improve away her limited, old-fashioned ideas. She recedes further and further from us. Mockingly she seemed to see her there at the end of the corridor of years saying, of all incongruous things, ""Marry, marry!"" (sitting very upright early in the morning with the birds beginning to cheep in the garden outside). And one would have to say to her,",But how did she know that those were Mary and Joseph? Did she think the same birds came to the same trees every night?,,,,,she was
"As she lurched (for she rolled like a ship at sea) and leered (for her eyes fell on nothing directly, but with a sidelong glance that deprecated the scorn and anger of the world--she was witless, she knew it), as she clutched the banisters and hauled herself upstairs and rolled from room to room, she sang.Rubbing the glass of the long looking-glass and leering sideways at her swinging figure a sound issued from her lips--something that had been gay twenty years before on the stage perhaps, had been hummed and danced to, but now, coming from the toothless, bonneted, care-taking woman, was robbed of meaning, was like the voice of witlessness, humour, persistency itself, trodden down but springing up again, so that as she lurched, dusting, wiping, she seemed to say how it was one long sorrow and trouble, how it was getting up and going to bed again, and bringing things out and putting them away again. It was not easy or snug this world she had known for close on seventy years. Bowed down she was with weariness.How long, she asked, creaking and groaning on her knees under the bed, dusting the boards, how long shall it endure? but hobbled to her feet again, pulled herself up, and again with her sidelong leer which slipped and turned aside even from her own face, and her own sorrows, stood and gaped in the glass, aimlessly smiling, and began again the old amble and hobble, taking up mats, putting down china, looking sideways in the glass, as if, after all, she had her consolations, as if indeed there twined about her dirge some incorrigible hope. Visions of joy there must have been at the wash- tub, say with her children (yet two had been base-born and one had deserted her), at the public-house, drinking; turning over scraps in her drawers. Some cleavage of the dark there must have been, some channel in the depths of obscurity through which light enough issued to twist her face grinning in the glass and make her, turning to her job again, mumble out the old music hall song. The mystic, the visionary, walking the beach on a fine night, stirring a puddle, looking at a stone, asking themselves""What am I,"" ""What is this?""had suddenly an answer vouchsafed them: (they could not say what it was) so that they were warm in the frost and had comfort in the desert. But Mrs. McNab continued to drink and gossip as before.","""Do you write many letters, Mr. Tansley?""",,"Could they have let the Bï¿½f en Daube overboil? she wondered, pray heaven not! when the great clangour of the gong announced solemnly, authoritatively, that all those scattered about, in attics, in bedrooms, on little perches of their own, reading, writing, putting the last smooth to their hair, or fastening dresses, must leave all that, and the little odds and ends on their washing-tables and dressing tables, and the novels on the bed- tables, and the diaries which were so private, and assemble in the dining-room for dinner.","But you've got it now,",It has all gone against your wishes. They're happy like that; I'm happy like this. Life has changed completely.,Had Carrie written to him herself?,,,,,she was
"6. The Spring without a leaf to toss, bare and bright like a virgin fierce in her chastity, scornful in her purity, was laid out on fields wide- eyed and watchful and entirely careless of what was done or thought by the beholders. [Prue Ramsay, leaning on her father's arm, was given in marriage that May. What, people said,could have been more fitting? And, they added, how beautiful she looked!] As summer neared, as the evenings lengthened, there came to the wakeful, the hopeful, walking the beach, stirring the pool, imaginations of the strangest kind--of flesh turned to atoms which drove before the wind, of stars flashing in their hearts, of cliff, sea, cloud, and sky brought purposely together to assemble outwardly the scattered parts of the vision within.In those mirrors, the minds of men, in those pools of uneasy water, in which clouds for ever turn and shadows form, dreams persisted, and it was impossible to resist the strange intimation which every gull, flower, tree, man and woman, and the white earth itself seemed to declare (but if questioned at once to withdraw) that good triumphs, happiness prevails, order rules; or to resist the extraordinary stimulus to range hither and thither in search of some absolute good, some crystal of intensity, remote from the known pleasures and familiar virtues, something alien to the processes of domestic life, single, hard, bright, like a diamond in the sand, which would render the possessor secure.Moreover, softened and acquiescent, the spring with her bees humming and gnats dancing threw her cloak about her, veiled her eyes, averted her head, and among passing shadows and flights of small rain seemed to have taken upon her a knowledge of the sorrows of mankind. [Prue Ramsay died that summer in some illness connected with childbirth, which was indeed a tragedy, people said, everything, they said, had promised so well.] And now in the heat of summer the wind sent its spies about the house again. Flies wove a web in the sunny rooms; weeds that had grown close to the glass in the night tapped methodically at the window pane. When darkness fell, the stroke of the Lighthouse, which had laid itself with such authority upon the carpet in the darkness, tracing its pattern, came now in the softer light of spring mixed with moonlight gliding gently as if it laid its caress and lingered steathily and looked and came lovingly again. But in the very lull of this loving caress, as the long stroke leant upon the bed, the rock was rent asunder; another fold of the shawl loosened; there it hung, and swayed. Through the short summer nights and the longsummer days, when the empty rooms seemed to murmur with the echoes of the fields and the hum of flies, the long streamer waved gently, swayed aimlessly; while the sun so striped and barred the rooms and filled them with yellow haze that Mrs. McNab, when she broke in and lurched about, dusting, sweeping, looked like a tropical fish oaring its way through sun-lanced waters. But slumber and sleep though it might there came later in the summer ominous sounds like the measured blows of hammers dulled on felt, which, with their repeated shocks still further loosened the shawl and cracked the tea-cups. Now and again some glass tinkled in the cupboard as if a giant voice had shrieked so loud in its agony that tumblers stood inside a cupboard vibrated too. Then again silence fell; and then, night after night, and sometimes in plain mid-day when the roses were bright and light turned on the wall its shape clearly there seemed to drop into this silence, this indifference, this integrity, the thud of something falling. [A shell exploded. Twenty or thirty young men were blown up in France, among them Andrew Ramsay, whose death, mercifully, was instantaneous.] At that season those who had gone down to pace the beach and ask of the sea and sky what message they reported or what vision they affirmed had to consider among the usual tokens of divine bounty--the sunset on the sea, the pallor of dawn, the moon rising, fishing-boats against the moon, and children making mud pies or pelting each other with handfuls of grass, something out of harmony with this jocundity and this serenity. There was the silent apparition of an ashen-coloured ship for instance, come, gone; there was a purplish stain upon the bland surface of the sea as if something had boiled and bled, invisibly, beneath. This intrusion into a scene calculated to stir the most sublime reflections and lead to the most comfortable conclusions stayed their pacing. It was difficult blandly to overlook them; to abolish their significance in the landscape; to continue, as one walked by the sea, to marvel how beauty outside mirrored beauty within. Did Nature supplement what man advanced? Did she complete what he began? With equal complacence she saw his misery, his meanness, and his torture. That dream, of sharing, completing, of finding in solitude on the beach an answer, was then but a reflection in a mirror, and the mirror itself was but the surface glassiness which forms in quiescence when the nobler powers sleep beneath? Impatient, despairing yet loth to go (for beauty offers her lures, has her consolations), to pace the beach was impossible; contemplation was unendurable; the mirror was broken. [Mr. Carmichael brought out a volume of poems that spring, which had an unexpected success. The war, people said, had revived their interest in poetry.]","""One never gets anything worth having by post""",,"Speaking with warmth and eloquence, she described the iniquity of the English dairy system, and in what state milk was delivered at the door, and was about to prove her charges, for she had gone into the matter, when all round the table, beginning with Andrew in the middle, like a fire leaping from tuft to tuft of furze, her children laughed; her husband laughed; she was laughed at, fire- encircled, and forced to veil her crest, dismount her batteries, and only retaliate by displaying the raillery and ridicule of the table to Mr. Bankes as an example of what one suffered if one attacked the prejudices of the British Public.",What could he see?,What was this mania of hers for marriage?,Should he give her love to Carrie?,,,,,felt
"The Spring without a leaf to toss, bare and bright like a virgin fierce in her chastity, scornful in her purity, was laid out on fields wide- eyed and watchful and entirely careless of what was done or thought by the beholders.","""No going to the Lighthouse tomorrow, Mrs. Ramsay,""",,"Just now (but this cannot last, she thought, dissociating herself from the moment while they were all talking about boots) just now she had reached security; she hovered like a hawk suspended; like a flag floated in an element of joy which filled every nerve of her body fully and sweetly, not noisily, solemnly rather, for it arose, she thought, looking at them all eating there, from husband and children and friends; all of which rising in this profound stillness (she was helping William Bankes to one very small piece more, and peered into the depths of the earthenware pot) seemed now for no special reason to stay there like a smoke, like a fume rising upwards, holding them safe together.",It was all a blur to her.,"""The Rayleys""; how Paul went to coffee-houses and played chess.","They were awfully late; they were horribly late,",,,,,felt
"[Prue Ramsay, leaning on her father's arm, was given in marriage that May. What, people said,could have been more fitting? And, they added, how beautiful she looked!]","""Oh, Mr. Tansley,""",,"Speaking with warmth and eloquence, she described the iniquity of the English dairy system, and in what state milk was delivered at the door, and was about to prove her charges, for she had gone into the matter, when all round the table, beginning with Andrew in the middle, like a fire leaping from tuft to tuft of furze, her children laughed; her husband laughed; she was laughed at, fire- encircled, and forced to veil her crest, dismount her batteries, and only retaliate by displaying the raillery and ridicule of the table to Mr. Bankes as an example of what one suffered if one attacked the prejudices of the British Public.",What was he thinking now?,"Yes,","How could she be such a goose,",,,,,felt
