DD,LS,IIM,FID,RWs,SC,UP,NCE,NCP,RW
"""Would it bore you to come with me, Mr. Tansley?""","<UP> He heard her quick step above; heard her voice cheerful, then low; looked at the mats, tea-caddies, glass shades; waited quite impatiently; looked forward eagerly to the walk home; determined to carry her bag; then heard her come out; shut a door; say they must keep the windows open and the doors shut, ask at the house for anything they wanted (she must be talking to a child) when, suddenly, in she came, stood for a moment silent (as if she had been pretending up there, and for a moment let herself be now), stood quite motionless for a moment against a picture of Queen Victoria wearing the blue ribbon of the Garter; when all at once he realised that it was this: it was this: - <FID> she was the most beautiful person he had ever seen. </FID> </UP>","And it was then too, in that chill and windy way, as she began to paint, that there forced themselves upon her other things, her own inadequacy, her insignificance, keeping house for her father off the Brompton Road, and had much ado to control her impulse to fling herself (thank Heaven she had always resisted so far) at Mrs. Ramsay's knee and say to her--but what could one say to her?<FID> <NCP>""I'm in love with you?""</NCP> No, that was not true. <NCP>""I'm in love with this all,""</NCP> </FID> waving her hand at the hedge, at the house, at the children. It was absurd, it was impossible. So now she laid her brushes neatly in the box, side by side,",It was not his face; it was not his manners. It was him - his point of view.,,,,,"His favourite, Cam, was in bed, he supposed.",It was a thousand pities
"""Stamps, writing-paper, tobacco?""","<DD>""Good-bye, Elsie,"" </DD> she said, and they walked up the street, she holding her parasol erect and walking as if she expected to meet someone round the corner, while for the first time in his life <RWs> Charles Tansley felt an extraordinary pride; </RWs> a man digging in a drain stopped digging and looked at her; let his arm fall down and looked at her; <RWs>Charles Tansley felt an extraordinary pride; </RWs> felt the wind and the cyclamen and the violets for he was walking with a beautiful woman. He had hold of her bag.","They both smiled, standing there. <LS> They both felt a common hilarity, excited by the moving waves; and then by the swift cutting race of a sailing boat, which, having sliced a curve in the bay, stopped; shivered; let its sails drop down; and then, with a natural instinct to complete the picture, after this swift movement, both of them looked at the dunes far away, and instead of merriment felt come over them some sadness--because the thing was completed partly, and partly because distant views seem to outlast by a million years (Lily thought) the gazer and to be communing already with a sky which beholds an earth entirely at rest. </LS>",And he would go to picture galleries,,,,,"""can't paint, can't write,""",He had
"""Let us all go!""","<SC> The gruff murmur, irregularly broken by the taking out of pipes and the putting in of pipes which had kept on assuring her, though she could not hear what was said (as she sat in the window which opened on the terrace), that the men were happily talking; this sound, which had lasted now half an hour and had taken its place soothingly in the scale of sounds pressing on top of her, <NCP>such as the tap of balls upon bats, the sharp, sudden bark now and then, ""How's that? How's that?"" of the children playing cricket,</NCP> had ceased; so that the monotonous fall of the waves on the beach, which for the most part beat a measured and soothing tattoo to her thoughts and seemed consolingly to repeat over and over again as she sat with the children the words of some old cradle song, murmured by nature, ""I am guarding you--I am your support,"" but at other times suddenly and unexpectedly, especially when her mind raised itself slightly from the task actually in hand, had no such kindly meaning, but like a ghostly roll of drums remorselessly beat the measure of life, made one think of the destruction of the island and its engulfment in the sea, and warned her whose day had slipped past in one quick doing after another that it was all ephemeral as a rainbow--this sound which had been obscured and concealed under the other sounds suddenly thundered hollow in her ears and made her look up with an impulse of terror. </SC>","Looking at the far sand hills, William Bankes thought of Ramsay: thought of a road in Westmorland, thought of Ramsay striding along a road by himself hung round with that solitude which seemed to be his natural air.","and he would ask one, did one like his tie? God knows, said Rose, one did not.",,,,,--what happens if one is not nice to that young man there,He had
"""Let's go,""","One moment more, with her head raised, she listened, as if she waited for some habitual sound, some regular mechanical sound; and then, hearing something rhythmical, half said, half chanted, beginning in the garden, as her husband beat up and down the terrace, <NCP>something between a croak and a song,</NCP> she was soothed once more, assured again that all was well, and looking down at the book on her knee found the picture of a pocket knife with six blades which could only be cut out if James was very careful.","an odd illumination into his heart, <NCP>Bankes had thought it,</NCP> which showed his simplicity, his sympathy with humble things; but it seemed to him as if their friendship had ceased, there, on that stretch of road. After that, Ramsay had married. After that, what with one thing and another, the pulp had gone out of their friendship. Whose fault it was he could not say, only, after a time, repetition had taken the place of newness. It was to repeat that they met. But in this dumb colloquy with the sand dunes he maintained that his affection for Ramsay had in no way diminished; but there, like the body of a young man laid up in peat for a century, with the red fresh on his lips, was his friendship, in its acuteness and reality, laid up across the bay among the sandhills.","oh, that they should begin so early,",,,,,Mr. Ramsay frowned at her.,He had
"""Let us all go to the circus.""","All of this danced up and down, like a company of gnats, each separate but all marvellously controlled in an invisible elastic net--danced up and down in Lily's mind, in and about the branches of the pear tree, where still hung in effigy the scrubbed kitchen table, symbol of her profound respect for Mr. Ramsay's mind, until her thought which had spun quicker and quicker exploded of its own intensity; she felt released; a shot went off close at hand, and there came, flying from its fragments, frightened, effusive, tumultuous, a flock of starlings.","He was anxious for the sake of this friendship and perhaps too in order to clear himself in his own mind from the imputation of having dried and shrunk--for Ramsay lived in a welter of children, whereas Bankes was childless and a widower--he was anxious that Lily Briscoe should not disparage Ramsay (a great man in his own way) yet should understand how things stood between them. Begun long years ago, their friendship had petered out on a Westmorland road, where the hen spread her wings before her chicks; after which Ramsay had married, and their paths lying different ways, there had been, certainly for no one's fault, some tendency, when they met, to repeat.","For they were making the great expedition,",,,,,"Lily felt, as she talked about the skins of vegetables,",He had
"""My father is a chemist, Mrs. Ramsay. He keeps a shop.""","His eyes, glazed with emotion, defiant with tragic intensity, met theirs for a second, and trembled on the verge of recognition; but then, raising his hand, half-way to his face as if to avert, to brush off, in an agony of peevish shame, their normal gaze, as if he begged them to withhold for a moment what he knew to be inevitable, as if he impressed upon them his own child-like resentment of interruption, yet even in the moment of discovery was not to be routed utterly, but was determined to hold fast to something of this delicious emotion, this impure rhapsody of which he was ashamed, but in which he revelled--he turned abruptly, slammed his private door on them; and, Lily Briscoe and Mr. Bankes, looking uneasily up into the sky, observed that the flock of starlings which Jasper had routed with his gun had settled on the tops of the elm trees.","The Ramsays were not rich, and it was a wonder how they managed to contrive it all. Eight children! To feed eight children on philosophy! Here was another of them, Jasper this time, strolling past,",They were going to the town.,,,,,"Lily felt,",One must.
"""No going to the Lighthouse, James,""","Then, looking up, as her husband passed her once more, she was relieved to find that the ruin was veiled; domesticity triumphed; custom crooned its soothing rhythm, so that when stopping deliberately, as his turn came round again, at the window he bent quizzically and whimsically to tickle James's bare calf with a sprig of something, she twitted him for having dispatched ""that poor young man,"" Charles Tansley.","There was education now to be considered (true, Mrs. Ramsay had something of her own perhaps) let alone the daily wear and tear of shoes and stockings which those ""great fellows,"" all well grown, angular, ruthless youngsters, must require. As for being sure which was which, or in what order they came, that was beyond him. He called them privately after the Kings and Queens of England; Cam the Wicked, James the Ruthless, Andrew the Just, Prue the Fair--for Prue would have beauty, he thought, how could she help it?--and Andrew brains. While he walked up the drive and Lily Briscoe said yes and no and capped his comments (for she was in love with them all, in love with this world) he weighed Ramsay's case, commiserated him, envied him, as if he had seen him divest himself of all those glories of isolation and austerity which crowned him in youth to cumber himself definitely with fluttering wings and clucking domesticities. They gave him something--William Bankes acknowledged that; it would have been pleasant if Cam had stuck a flower in his coat or clambered over his shoulder, <NCP>as over her father's,</NCP> to look at a picture of Vesuvius in eruption; but they had also, <NCP>his old friends could not but feel,</NCP> destroyed something. What would a stranger think now? What did this Lily Briscoe think? Could one help noticing that habits grew on him? eccentricities, weaknesses perhaps? It was astonishing that a man of his intellect could stoop so low as he did--but that was too harsh a phrase--could depend so much as he did upon people's praise.","But no, he wanted nothing.",,,,,"she said to herself, catching sight of the salt cellar on the pattern,","One must,"
"""Perhaps you will wake up and find the sun shining and the birds singing,""","Already ashamed of that petulance, of that gesticulation of the hands when charging at the head of his troops, Mr. Ramsay rather sheepishly prodded his son's bare legs once more, and then, as if he had her leave for it, with a movement which oddly reminded his wife of the great sea lion at the Zoo tumbling backwards after swallowing his fish and walloping off so that the water in the tank washes from side to side, he dived into the evening air which, already thinner, was taking the substance from leaves and hedges but, as if in return, restoring to roses and pinks a lustre which they had not had by day.","How then did it work out, all this? How did one judge people, think of them? How did one add up this and that and conclude that it was liking one felt or disliking? And to those words, what meaning attached, after all?","<NCPDD>He should have been a great philosopher, </NCPDD>",,,,,"she felt, carefully helping Mr. Bankes to a specially tender piece,",one must.
"""Perhaps it will be fine tomorrow,""","He stopped to light his pipe, looked once at his wife and son in the window, and as one raises one's eyes from a page in an express train and sees a farm, a tree, a cluster of cottages as an illustration, a confirmation of something on the printed page to which one returns, fortified, and satisfied, so without his distinguishing either his son or his wife, the sight of them fortified him and satisfied him and consecrated his effort to arrive at a perfectly clear understanding of the problem which now engaged the energies of his splendid mind.","thinking that Lily's charm was her Chinese eyes, aslant in her white, puckered little face, but it would take a clever man to see it,",<NCP>but he had made an unfortunate marriage.</NCPDD>,,,,,"or perhaps it was Jane Austen,","Lights, lights, lights,"
"""It suddenly gets cold. The sun seems to give less heat,""","The veins on his forehead bulged. The geranium in the urn became startlingly visible and, displayed among its leaves, he could see, without wishing it, that old, that obvious distinction between the two classes of men; on the one hand the steady goers of superhuman strength who, plodding and persevering, repeat the whole alphabet in order, twenty-six letters in all, from start to finish; on the other the gifted, the inspired who, miraculously, lump all the letters together in one flash--the way of genius.",- William and Lily should marry,"<UP> an affair at Oxford with some girl; an early marriage; poverty; going to India; </UP> translating a little poetry ""very beautifully, I believe,"" being willing to teach the boys Persian or Hindustanee, but what really was the use of that?--and then lying, as they saw him, on the lawn.",,,,,But how does this affect me?,"Lights, lights, lights,"
"""Oh, but,""","<UP> But his son hated him. He hated him for coming up to them, for stopping and looking down on them; he hated him for interrupting them; he hated him for the exaltation and sublimity of his gestures; for the magnificence of his head; for his exactingness and egotism (for there he stood, commanding them to attend to him) but most of all he hated the twang and twitter of his father's emotion which, vibrating round them, disturbed the perfect simplicity and good sense of his relations with his mother. </UP>","- what demon possessed him, her youngest, her cherished? - and saw the room, saw the chairs, thought them fearfully shabby. Their entrails, as Andrew said the other day, were all over the floor; but then what was the point, she asked, of buying good chairs to let them spoil up here all through the winter when the house, with only one old woman to see to it, positively dripped with wet? Never mind, the rent was precisely twopence half-penny; the children loved it; it did her husband good to be three thousand, or if she must be accurate, three hundred miles from his libraries and his lectures and his disciples; and there was room for visitors. Mats, camp beds, crazy ghosts of chairs and tables whose London life of service was done--they did well enough here; and a photograph or two, and books. Books, she thought, grew of themselves. She never had time to read them. Alas! even the books that had been given her and inscribed by the hand of the poet himself: ""For her whose wishes must be obeyed"" ... ""The happier Helen of our days"" ... disgraceful to say, she had never read them. And Croom on the Mind and Bates on the Savage Customs of Polynesia (""My dear, stand still,"" she said)--neither of those could one send to the Lighthouse. At a certain moment, she supposed, the house would become so shabby that something must be done. If they could be taught to wipe their feet and not bring the beach in with themï¿½that would be something. Crabs, she had to allow, if Andrew really wished to dissect them, or if Jasper believed that one could make soup from seaweed, one could not prevent it; or Rose's objects--shells, reeds, stones; for they were gifted, her children, but all in quite different ways. And the result of it was, she sighed, taking in the whole room from floor to ceiling, as she held the stocking against James's leg, that things got shabbier and got shabbier summer after summer. The mat was fading; the wall-paper was flapping. You couldn't tell any more that those were roses on it. Still, if every door in a house is left perpetually open, and no lockmaker in the whole of Scotland can mend a bolt, things must spoil. What was the use of flinging a green Cashemere shawl over the edge of a picture frame? In two weeks it would be the colour of pea soup. But it was the doors that annoyed her; every door was left open. She listened. The drawing-room door was open; the hall door was open; it sounded as if the bedroom doors were open; and certainly the window on the landing was open, for that she had opened herself. That windows should be open, and doors shut--simple as it was, could none of them remember it? She would go into the maids' bedrooms at night and find them sealed like ovens, except for Marie's, the Swiss girl, who would rather go without a bath than without fresh air, but then at home, she had said, ""the mountains are so beautiful."" She had said that last night looking out of the window with tears in her eyes. ""The mountains are so beautiful."" Her father was dying there, Mrs. Ramsay knew. He was leaving them fatherless. Scolding and demonstrating (how to make a bed, how to open a window, with hands that shut and spread like a Frenchwoman's) all had folded itself quietly about her, when the girl spoke, as, after a flight through the sunshine the wings of a bird fold themselves quietly and the blue of its plumage changes from bright steel to soft purple. She had stood there silent for there was nothing to be said. He had cancer of the throat.At the recolection--how she had stood there, how the girl had said, ""At home the mountains are so beautiful,"" and there was no hope, no hope whatever, she had a spasm of irritation,","As for her little bag, might he not carry that? No, no,",,,,,"Mrs. Ramsay saw,",nothing
"""think of his work!""","Mrs. Ramsay, who had been sitting loosely, folding her son in her arm, braced herself, and, half turning, seemed to raise herself with an effort, and at once to pour erect into the air a rain of energy, a column of spray, looking at the same time animated and alive as if all her energies were being fused into force, burning and illuminating (quietly though she sat, taking up her stocking again), and into this delicious fecundity, this fountain and spray of life, the fatal sterility of the male plunged itself, like a beak of brass, barren and bare.","And he thought of Mrs. Ramsay as he looked at that stir among the unfinished walls. For always, he thought, there was something incongruous to be worked into the harmony of her face. She clapped a deer-stalker's hat on her head; she ran across the lawn in galoshes to snatch a child from mischief. So that if it was her beauty merely that one thought of, one must remember the quivering thing, the living thing (they were carrying bricks up a little plank as he watched them), and work it into the picture; or if one thought of her simply as a woman, one must endow her with some freak of idiosyncrasy--she did not like admirationï¿½or suppose some latent desire to doff her royalty of form as if her beauty bored her and all that men say of beauty, and she wanted only to be like other people, insignificant. He did not know. He did not know.He must go to his work.)",she always carried THAT herself.,,,,,"oh, what a pity that they should do it",nothing
"""Subject and object and the nature of reality,""","Immediately, Mrs. Ramsey seemed to fold herself together, one petal closed in another, and the whole fabric fell in exhaustion upon itself, so that she had only strength enough to move her finger, in exquisite abandonment to exhaustion, across the page of Grimm's fairy story, while there throbbed through her, like a pulse in a spring which has expanded to its full width and now gently ceases to beat, the rapture of successful creation.","Then he said, </NCP>Damn you. He said, It must rain. He said, It won't rain;</NCP>","It was terribly dangerous work for a one-armed man,",,,,,You will be as happy as she is one of these days.,How odd
"""Think of a kitchen table then,""","It was Augustus Carmichael shuffling past, precisely now, at the very moment when it was painful to be reminded of the inadequacy of human relationships, that the most perfect was flawed, and could not bear the examination which, loving her husband, with her instinct for truth, she turned upon it; when it was painful to feel herself convicted of unworthiness, and impeded in her proper function by these lies, these exaggerations,--it was at this moment when she was fretted thus ignobly in the wake of her exaltation, that Mr. Carmichael shuffled past, in his yellow slippers, and some demon in her made it necessary for her to call out, as he passed,","How many men in a thousand million, he asked himself, reach Z after all? Surely the leader of a forlorn hope may ask himself that, and answer, without treachery to the expedition behind him, ""One perhaps."" One in a generation. Is he to be blamed then if he is not that one? provided he has toiled honestly, given to the best of his power, and till he has no more left to give? And his fame lasts how long? It is permissible even for a dying hero to think before he dies how men will speak of him hereafter. His fame lasts perhaps two thousand years. And what are two thousand years? (asked Mr. Ramsay ironically, staring at the hedge). What, indeed, if you look from a mountain top down the long wastes of the ages? The very stone one kicks with one's boot will outlast Shakespeare. His own little light would shine, not very brightly, for a year or two, and would then be merged in some bigger light, and that in a bigger still. (He looked into the hedge, into the intricacy of the twigs.) Who then could blame the leader of that forlorn party which after all has climbed high enough to see the waste of the years and the perishing of the stars, if before death stiffens his limbs beyond the power of movement he does a little consciously raise his numbed fingers to his brow, and square his shoulders, so that when the search party comes they will find him dead at his post, the fine figure of a soldier?",to stand on top of a ladder like that-,,,,,"because you are my daughter,",How odd
"""when you're not there.""","Was it not secretly this that she wanted, and therefore when Mr. Carmichael shrank away from her, as he did at this moment, making off to some corner where he did acrostics endlessly, she did not feel merely snubbed back in her instinct, but made aware of the pettiness of some part of her, and of human relations, how flawed they are, how despicable, how self-seeking, at their best. Shabby and worn out, and not presumably (her cheeks were hollow, her hair was white) any longer a sight that filled the eyes with joy, she had better devote her mind to the story of the Fisherman and his Wife and so pacify that bundle of sensitiveness (none of her children was as sensitive as he was), her son James.","But he must have more than that. It was sympathy he wanted, to be assured of his genius, first of all, and then to be taken within the circle of life, warmed and soothed, to have his senses restored to him, his barrenness made furtile, and all the rooms of the house made full of life--the drawing-room; behind the drawing-room the kitchen; above the kitchen the bedrooms; and beyond them the nurseries; they must be furnished, they must be filled with life.",No. He could not say it right. He could not feel it right. But why not?,,,,,"she thought, putting her napkin beside her plate,",there
"""Ramsay is one of those men who do their best work before they are forty.""","He slipped, seeing before him that hedge which had over and over again rounded some pause, signified some conclusion, seeing his wife and child, seeing again the urns with the trailing of red geraniums which had so often decorated processes of thought, and bore, written up among their leaves, as if they were scraps of paper on which one scribbles notes in the rush of reading--he slipped, seeing all this, smoothly into speculation suggested by an article in THE TIMES about the number of Americans who visit Shakespeare's house every year.","But he must have more than that. He must have sympathy. He must be assured that he too lived in the heart of life; was needed; not only here, but all over the world.",What was wrong with him then?,,,,,"in the hall when the others were talking,",there
"""Jasper!""","All this would have to be dished up for the young men at Cardiff next month, he thought; here, on his terrace, he was merely foraging and picnicking (he threw away the leaf that he had picked so peevishly) like a man who reaches from his horse to pick a bunch of roses, or stuffs his pockets with nuts as he ambles at his ease through the lanes and fields of a country known to him from boyhood.","James felt all her strength flaring up to be drunk and quenched by the beak of brass, the arid scimitar of the male, which smote mercilessly, again and again, demanding sympathy.","Had they not been taken,",,,,,"she wondered, as she took up her knitting,",there
"<NCE>""Some one had blundered!""</NCE>","Hours he would spend thus, with his pipe, of an evening, thinking up and down and in and out of the old familiar lanes and commons, which were all stuck about with the history of that campaign there, the life of this statesman here, with poems and with anecdotes, with figures too, this thinker, that soldier; all very brisk and clear; but at length the lane, the field, the common, the fruitful nut-tree and the flowering hedge led him on to that further turn of the road where he dismounted always, tied his horse to a tree, and proceeded on foot alone.",Why had he not gone as he said to watch the children playing cricket?,"to circuses when they were children? Never,",,,,,"--oh, no, that she had invented;",here
"""And even if it isn't fine tomorrow,""","Muttering half aloud, so he broke off, turned, sighed, raised his eyes, sought the figure of his wife reading stories to his little boy, filled his pipe. He turned from the sight of human ignorance and human fate and the sea eating the ground we stand on, which, had he been able to contemplate it fixedly might have led to something; and found consolation in trifles so slight compared with the august theme just now before him that he was disposed to slur that comfort over, to deprecate it, as if to be caught happy in a world of misery was for an honest man the most despicable of crimes.","It was his fate, his peculiarity, whether he wished it or not, to come out thus on a spit of land which the sea is slowly eating away, and there to stand, like a desolate sea-bird, alone. It was his power, his gift, suddenly to shed all superfluities, to shrink and diminish so that he looked barer and felt sparer, even physically, yet lost none of his intensity of mind, and so to stand on his little ledge facing the dark of human ignorance, how we know nothing and the sea eats away the ground we stand on--that was his fate, his gift. But having thrown away, when he dismounted, all gestures and fripperies, all trophies of nuts and roses, and shrunk so that not only fame but even his own name was forgotten by him, kept even in that desolation a vigilance which spared no phantom and luxuriated in no vision, and it was in this guise that he inspired in William Bankes (intermittently) and in Charles Tansley (obsequiously) and in his wife now, when she looked up and saw him standing at the edge of the lawn, profoundly, reverence, and pity, and gratitude too, as a stake driven into the bed of a channel upon which the gulls perch and the waves beat inspires in merry boat-loads a feeling of gratitude for the duty it is taking upon itself of marking the channel out there in the floods alone.","had been longing all these days to say, how they did not go to circuses. It was a large family, nine brothers and sisters, and his father was a working man.",,,,,"for they were drawing together, involuntarily, coming side by side, quite close,",Here
"""it will be another day. And now,""","It was a disguise; it was the refuge of a man afraid to own his own feelings, who could not say,<FID> This is what I like--this is what I am; </FID>and rather pitiable and distasteful to William Bankes and Lily Briscoe, who wondered why such concealments should be necessary; why he needed always praise; why so brave a man in thought should be so timid in life; how strangely he was venerable and laughable at one and the same time.","<RW>A bit of a hypocrite?</RW>she repeated. Oh, no - the most sincere of men, the truest (here he was), the best; but, looking down, she thought, he is absorbed in himself, he is tyrannical, he is unjust; and kept looking down, purposely, for only so could she keep steady, staying with the Ramsays. Directly one looked up and saw them, what she called ""being in love"" flooded them. They became part of that unreal but penetrating and exciting universe which is the world seen through the eyes of love. The sky stuck to them; the birds sang through them. And, what was even more exciting, she felt, too, as she saw Mr. Ramsay bearing down and retreating, and Mrs. Ramsay sitting with James in the window and the cloud moving and the tree bending, how life, from being made up of little separate incidents which one lived one by one, became curled and whole like a wave which bore one up and threw one down with it, there, with a dash on the beach.","He himself had paid his own way since he was thirteen. Often he went without a greatcoat in winter. He could never ""return hospitality"" (those were his parched stiff words) at college. <UP> He had to make things last twice the time other people did; he smoked the cheapest tobacco; shag; the same the old men did in the quays. </UP> He worked hard--seven hours a day;",,,,,"""pessimism""","together,"
"""and now stand up, and let me measure your leg,""","And as they came out on the hill and saw the lights of the town beneath them, the lights coming out suddenly one by one seemed like things that were going to happen to him--his marriage, his children, his house; and again he thought, as they came out on to the high road, which was shaded with high bushes, how they would retreat into solitude together, and walk on and on, he always leading her, and she pressing close to his side (as she did now).","For such it was considering his age, turned sixty, and his cleanliness and his impersonality, and the white scientific coat which seemed to clothe him. For him to gaze as Lily saw him gazing at Mrs. Ramsay was a rapture, equivalent, Lily felt, to <RW> the loves of dozens of young men </RW>(and perhaps Mrs. Ramsay had never excited<RW> the loves of dozens of young men </RW>). It was love, she thought, pretending to move her canvas, distilled and filtered; love that never attempted to clutch its object; but, like the love which mathematicians bear their symbols, or poets their phrases, was meant to be spread over the world and become part of the human gain. So it was indeed. The world by all means should have shared it, could Mr. Bankes have said why that woman pleased him so; why the sight of her reading a fairy tale to her boy had upon him precisely the same effect as the solution of a scientific problem, so that he rested in contemplation of it, and felt, as he felt when he had proved something absolute about the digestive system of plants, that barbarity was tamed, the reign of chaos subdued.","That was the view,",,,,,"Almost one might imagine them,","together,"
"""My dear, stand still,""","She was now beginning to feel annoyed with them for being so late; it was inconsiderate of them, and it annoyed her on top of her anxiety about them, that they should choose this very night to be out late, when, in fact, she wished the dinner to be particularly nice, since William Bankes had at last consented to dine with them; and they were having Mildred's masterpiece--BÅf en Daube.","She now remembered what she had been going to say about Mrs. Ramsay. She did not know how she would have put it; but it would have been something critical. She had been annoyed the other night by some highhandedness. Looking along the level of Mr. Bankes's glance at her, she thought that no woman could worship another woman in the way he worshipped; they could only seek shelter under the shade which Mr. Bankes extended over them both. <LS> Looking along his beam she added to it her different ray, thinking that she was unquestionably the loveliest of people (bowed over her book); the best perhaps; but also, different too from the perfect shape which one saw there. But why different, and how different? she asked herself, scraping her palette of all those mounds of blue and green which seemed to her like clods with no life in them now, yet she vowed, she would inspire them, force them to move, flow, do her bidding tomorrow. </LS>How did she differ? What was the spirit in her, the essential thing, by which, had you found a crumpled glove in the corner of a sofa, you would have known it, from its twisted finger, hers indisputably? She was like a bird for speed, an arrow for directness. She was willful; she was commanding (of course, Lily reminded herself, I am thinking of her relations with women, and I am much younger, an insignificant person, living off the Brompton Road). She opened bedroom windows. She shut doors. (So she tried to start the tune of Mrs. Ramsay in her head.) Arriving late at night, with a light tap on one's bedroom door, wrapped in an old fur coat (for the setting of her beauty was always that - hasty, but apt), she would enact again whatever it might be - Charles Tansley losing his umbrella; Mr. Carmichael snuffling and sniffing; Mr. Bankes saying,<DD>""The vegetable salts are lost.""</DD>All this she would adroitly shape; even maliciously twist; and, moving over to the window, in pretence that she must go, - it was dawn, she could see the sun rising,- half turn back, more intimately, but still always laughing, insist that she must, Minta must, they all must marry, since in the whole world whatever laurels might be tossed to her (but Mrs. Ramsay cared not a fig for her painting), or triumphs won by her (probably Mrs. Ramsay had had her share of those), and here she saddened, darkened, and came back to her chair, there could be no disputing this: an unmarried woman (she lightly took her hand for a moment), an unmarried woman has missed the best of life. The house seemed full of children sleeping and Mrs. Ramsay listening; shaded lights and regular breathing.","But now,",,,,,swung wide; admitted nothing; and slammed to.,together;
"""Stand still. Don't be tiresome,""","And, like some queen who, finding her people gathered in the hall, looks down upon them, and descends among them, and acknowledges their tributes silently, and accepts their devotion and their prostration before her (Paul did not move a muscle but looked straight before him as she passed) she went down, and crossed the hall and bowed her head very slightly, as if she accepted what they could not say: their tribute to her beauty.","Then, she remembered, she had laid her head on Mrs. Ramsay's lap and laughed and laughed and laughed, laughed almost hysterically at the thought of Mrs. Ramsay presiding with immutable calm over destinies which she completely failed to understand. There she sat, simple, serious. She had recovered her sense of her now - this was the glove's twisted finger. But into what sanctuary had one penetrated? Lily Briscoe had looked up at last, and there was Mrs. Ramsay, unwitting entirely what had caused her laughter, still presiding, but now with every trace of wilfulness abolished, and in its stead, something clear as the space which the clouds at last uncover - the little space of sky which sleeps beside the moon.",artists had come here.,,,,,"[Here Mr. Carmichael, who was reading Virgil, blew out his candle. It was past midnight.]",together
"""It's too short,""","<IIM> Could they have let the Bï¿½f en Daube overboil? </IIM><NCP> she wondered,</NCP><IIM><NCP> pray heaven not!</NCP></IIM> when the great clangour of the gong announced solemnly, authoritatively, that all those scattered about, in attics, in bedrooms, on little perches of their own, reading, writing, putting the last smooth to their hair, or fastening dresses, must leave all that, and the little odds and ends on their washing-tables and dressing tables, and the novels on the bed- tables, and the diaries which were so private, and assemble in the dining-room for dinner.","Was it wisdom? Was it knowledge? Was it, once more, the deceptiveness of beauty, so that all one's perceptions, half way to truth, were tangled in a golden mesh? or did she lock up within her some secret which certainly Lily Briscoe believed people must have for the world to go on at all? Every one could not be as helter skelter, hand to mouth as she was. But if they knew, could they tell one what they knew?","Since Mr. Paunceforte had been there, three years before, all the pictures were like that,",,,,,They lengthen; they darken.,summer
"""ever so much too short.""","Speaking with warmth and eloquence, she described the iniquity of the English dairy system, and in what state milk was delivered at the door, and was about to prove her charges, for she had gone into the matter, when all round the table, beginning with Andrew in the middle, like a fire leaping from tuft to tuft of furze, her children laughed; her husband laughed; she was laughed at, fire- encircled, and forced to veil her crest, dismount her batteries, and only retaliate by displaying the raillery and ridicule of the table to Mr. Bankes as an example of what one suffered if one attacked the prejudices of the British Public.","she imagined how in the chambers of the mind and heart of the woman who was, physically, touching her, were stood, like the treasures in the tombs of kings, tablets bearing sacred inscriptions, which if one could spell them out, would teach one everything, but they would never be offered openly, never made public. What art was there, known to love or cunning, by which one pressed through into those secret chambers? What device for becoming, like waters poured into one jar, inextricably the same, one with the object one adored? Could the body achieve, or the mind, subtly mingling in the intricate passages of the brain? or the heart? Could loving, as people called it, make her and Mrs. Ramsay one? for it was not knowledge but unity that she desired, not inscriptions on tablets, nothing that could be written in any language known to men, but intimacy itself, which is knowledge,","green and grey, with lemon-coloured sailing-boats, and pink women on the beach.",,,,,the hare erect; the wave falling;,summer
"""Nature has but little clay,""","Just now <IIM> <NCP>(but this cannot last,</NCP> </IIM> she thought, dissociating herself from the moment while they were all talking about boots) just now she had reached security; she hovered like a hawk suspended; like a flag floated in an element of joy which filled every nerve of her body fully and sweetly, not noisily, solemnly rather, <FID>for it arose,</FID> <NCP>she thought, looking at them all eating there, </NCP>from husband and children and friends; all of which rising in this profound stillness (she was helping William Bankes to one very small piece more, and peered into the depths of the earthenware pot) seemed now for no special reason to stay there like a smoke, like a fume rising upwards, holding them safe together.","How, then, she had asked herself, did one know one thing or another thing about people, sealed as they were? Only like a bee, drawn by some sweetness or sharpness in the air intangible to touch or taste, one haunted the dome-shaped hive, ranged the wastes of the air over the countries of the world alone, and then haunted the hives with their murmurs and their stirrings; the hives, which were people.","But her grandmother's friends,",,,,,only;,The house
"""Let us find another picture to cut out,""","And directly she went a sort of disintegration set in; they wavered about, went different ways, Mr. Bankes took Charles Tansley by the arm and went off to finish on the terrace the discussion they had begun at dinner about politics, thus giving a turn to the whole poise of the evening, making the weight fall in a different direction, as if, Lily thought, seeing them go, and hearing a word or two about the policy of the Labour Party, they had gone up on to the bridge of the ship and were taking their bearings; the change from poetry to politics struck her like that; so Mr. Bankes and Charles Mrs. Ramsay going upstairs in the lamplight alone.","She was off like a bird, bullet, or arrow, impelled by what desire, shot by whom, at what directed, who could say? What, what? Mrs. Ramsay pondered, watching her. It might be a vision--of a shell, of a wheelbarrow, of a fairy kingdom on the far side of the hedge; or it might be the glory of speed; no one knew.","took the greatest pains; first they mixed their own colours, and then they ground them, and then they put damp cloths to keep them moist.",,,,,"as to what, and why, and wherefore,",the house
